category,ingredient,quantity
gnocchi-alla-sorrentina,grated-Parmesan,75 g
gnocchi-alla-sorrentina,olive-oil,17.07 g
gnocchi-alla-sorrentina,stalks-basil,10g
vegetable-pulao,medium-onion,50g
vegetable-pulao,cinnamon-stick,7g
vegetable-pulao,clove,4g
vegetable-pulao,green-cardamoms,6g
vegetable-pulao,green-chillies,6g
vegetable-pulao,ts-garlic-paste,5.69 g
vegetable-pulao,ginger-paste,2.84 g
vegetable-pulao,medium-potato,40g
vegetable-pulao,french-beans,25g
vegetable-pulao,medium-carrot,30g
vegetable-pulao,small-cauliflower-florets,50g
vegetable-pulao,large-tomato,50g
vegetable-pulao,shelled-peas,150g
vegetable-pulao,basmati-rice,250g
vegetable-pulao,water,500g
vegetable-pulao,salt-to-taste,3g
vegetable-pulao,chilli-powder,2.84 g
vegetable-pulao,turmeric-powder,1.42g
vegetable-pulao,garam-masala-powder,5.69 g
vegetable-pulao,chopped-coriander-leaves,5g
vegetable-pulao,chopped-mint-leaves,34.14g
vegetable-pulao,onion,50g
vegetable-pulao,ghee-oil,5.69 g
vegetable-rice,onion,50g
vegetable-rice,clove-of-garlic,4g
vegetable-rice,rice,200 g
vegetable-rice,vegetable-broth,350 ml
vegetable-rice,milk,100 ml
vegetable-rice,zucchini,150 g
vegetable-rice,cocktail-tomatoes,200 g
vegetable-rice,bunch-chives,20g
vegetable-rice,almond-slivers,30 g
vegetable-rice,salt,2g
vegetable-rice,pepper,3g
vegetable-rice,ground-coriander,10g
kebabs,minced-meat-(beef),300 g
kebabs,barbecue-sauce,17.07 g
kebabs,salt,3g
kebabs,pepper,3g
kebabs,boiled-mini-sausages,80g
kebabs,zucchini,100g
kebabs,halloumi,100 g
kebabs,red-bell-pepper,50g
apple-crepe,apple,60g
apple-crepe,lemon-juice,34.14g
apple-crepe,eggs,4 eggs
apple-crepe,pinch-salt,2g
apple-crepe,flour,150 g
apple-crepe,baking-powder,2.84 g
apple-crepe,milk,250 ml
apple-crepe,butter,20 g
apple-crepe,sugar,30g
apple-crepe,cinnamon,10g
assam-prawns,raw-prawns,400 g
assam-prawns,tomatoes,70g
assam-prawns,big-onion,70g
assam-prawns,small-red-chili,5g
assam-prawns,assam-fish-paste-(approx.-180-g),180 g
assam-prawns,chili-paste,34.14g
assam-prawns,tamarind-paste,17.07g
assam-prawns,sugar,17.07g
assam-prawns,lemongrass,10g
assam-prawns,kaffir-lemon-leaves,5g
chicken-tikka,chilli-powder,3.8g
chicken-tikka,ginger-paste,2.84 g
chicken-tikka,garlic-paste,2.84 g
chicken-tikka,cumin-powder,2.84 g
chicken-tikka,coriander-powder,2.84 g
chicken-tikka,garam-masala,2.84 g
chicken-tikka,lemon-juice,34.14g
chicken-tikka,sunflower-oil,5.69g
chicken-tikka,kasoori-Methi,5.69g
chicken-tikka,curd,34.14g
chicken-tikka,salt-to-taste,2g
chicken-tikka,chicken-breast,250 g
chicken-tikka,capsicum,25g
chicken-tikka,onions,100g
chicken-tikka,butter,5.69g
parmesan-lollipops,chopped-Parmesan,45.52g
crepes,wheat-flour,100 g
crepes,pinch-salt,2g
crepes,milk,200 ml
crepes,eggs,2 eggs
dim-sum,spring-onion,5g
dim-sum,cloves-of-garlic,8g
dim-sum,ginger,30 g
dim-sum,minced-meat-(beef-pork),250 g
dim-sum,rice-wine-(or-dry-sherry),17.07 g
dim-sum,sesame-oil,34.14 ml
dim-sum,soy-sauce,102.42g
dim-sum,sugar,11.38g
dim-sum,salt,2.84 g
dim-sum,pepper,3g
dim-sum,olive-oil,51.21g
dim-sum,fresh-wonton-skins,24 sheets
dim-sum,flour,3g
herb-omelette-fennel,toast-bread,25 g
herb-omelette-fennel,parsley,30 g
herb-omelette-fennel,chives,10g
herb-omelette-fennel,sheep's-cheese,100 g
herb-omelette-fennel,eggs,5 eggs
herb-omelette-fennel,fennel,250 g
herb-omelette-fennel,orange,25g
herb-omelette-fennel,olive-oil,34.14 ml
herb-omelette-fennel,salt,3g
herb-omelette-fennel,pepper,3g
fish-nuggets,small-onion,50g
fish-nuggets,hard-boiled-egg,1 eggs
fish-nuggets,pickles,2 g
fish-nuggets,bunch-chives,120 g
fish-nuggets,yogurt,150 g
fish-nuggets,mustard,17.07 g
fish-nuggets,salt,2g
fish-nuggets,pepper,3g
fish-nuggets,mayonnaise,100 g
fish-nuggets,fillet-of-fish-(e.g.-cod),600 g
fish-nuggets,salt,2g
fish-nuggets,pepper,3g
fish-nuggets,eggs,3 eggs
fish-nuggets,flour,68.28g
fish-nuggets,breadcrumbs,100 g
fish-nuggets,oil,800 ml
fish-sticks,frozen-fish-sticks,10 g
baklava,sugar,300 g
baklava,water,200 ml
baklava,stripes-of-untreated-orange-zest,2 g
baklava,stripes-of-untreated-lemon-zest,2 g
baklava,stick-cinnamon,5g
baklava,cloves,6g
baklava,cardamom-pods,6g
baklava,honey,34.14g
baklava,rose-water,17.07 g
baklava,lemon-juice,17.07 g
baklava,mixed-nuts,200 g
baklava,pistachios,50 g
baklava,egg-whites,2 eggs
baklava,pinch-salt,2g
baklava,sugar,17.07 g
baklava,marzipan,75 g
baklava,yufka-dough,250 g
baklava,butter,80 g
boiled-eggs,eggs,4 eggs
cheese-cake,flour,180 g
cheese-cake,sugar,51.21g
cheese-cake,butter,150 g
cheese-cake,low-fat-quark,400 g
cheese-cake,vanilla-sugar,8g
cheese-cake,flour,34.14g
cheese-cake,eggs,3 eggs
cheese-cake,unwaxed-lemon-zest,5.69 g
cheese-cake,mixed-berries,300 g
cheese-cake,blackcurrant-or-raspberry-syrup,51.21g
muesli-strawberries,fine-oat-flakes,68.28g
muesli-strawberries,pithy-oat-flakes,68.28g
muesli-strawberries,dried-cranberries,34.14g
muesli-strawberries,milk,150 ml
muesli-strawberries,yoghurt,150 g
muesli-strawberries,cashew-nuts,34.14g
muesli-strawberries,sesame,34.14g
muesli-strawberries,liquid-honey,34.14g
muesli-strawberries,fresh-strawberries,250 g
